174778580	1461412200	1461425100	OVS	GKS	9	14098
174778566	1461388200	1461395400	OVS	HRA	9	23098
174778550	1461418200	1461424800	OVS	HRA	9	82098
174778492	1461407100	1461413100	LEH	OVS	9	82098
174778466	1461419400	1461425400	FUK	OVS	9	23098
174778458	1461377100	1461380400	JOG	OVS	9	64098
174778446	1461421800	1461425700	JOG	OVS	9	46098
174778414	1461381300	1461386100	QSM	OVS	9	85098
174778364	1461396000	1461407100	OVS	GAZ	9	42098
174778342	1461409800	1461415800	OVS	FUK	9	23098
174778328	1461419700	1461425400	OVS	WTR	9	16098
174778312	1461403800	1461409500	WTR	OVS	9	16098
174778242	1461373200	1461383100	XKA	OVS	9	16098
174778222	1461390300	1461396000	OVS	ONV	9	85098
174778198	1461415500	1461421200	XIR	OVS	9	26098
174778180	1461395100	1461401100	CBN	OVS	9	64098
174778176	1461384900	1461391200	OVS	CBN	9	64098
174778170	1461392100	1461396600	OVS	ZOV	9	14098
174778166	1461399600	1461403500	ZOV	OVS	9	14098
174778136	1461411900	1461418500	OVS	CBN	9	85098
174778132	1461422400	1461428700	CBN	OVS	9	85098
174778068	1461410400	1461420600	GAZ	OVS	9	42098
174778064	1461397200	1461403800	OVS	LEH	9	82098
174778026	1461396600	1461404400	WTS	OVS	9	32098
174778008	1461394200	1461400200	OVS	WTR	9	16098
174777992	1461412800	1461417600	OVS	JOG	9	46098
174777926	1461385200	1461393300	OVS	WTS	9	32098
174777868	1461391500	1461396900	NZK	OVS	9	15098
174777802	1461421800	1461430800	SRD	OVS	9	32098
174777744	1461383100	1461388800	OVS	NZK	9	15098
174777722	1461399300	1461404400	ONV	OVS	9	85098
174777680	1461394500	1461406200	OVS	PTO	9	51098
174777674	1461387600	1461391200	JOG	OVS	9	44098
174777664	1461373500	1461380700	AFU	OVS	9	51098
174777662	1461417900	1461424800	VOR	OVS	9	64098
174777656	1461406800	1461414000	OVS	VOR	9	64098
174777646	1461387600	1461393900	OVS	FUK	9	46098
174777644	1461399000	1461405000	FUK	OVS	9	46098
174777600	1461406500	1461412500	OVS	XIR	9	26098
174777574	1461413400	1461422400	OVS	KMM	9	41098
174777548	1461381300	1461385200	ZOV	OVS	9	14098
174777518	1461409800	1461420600	PTO	OVS	9	51098
174777510	1461380400	1461384600	OVS	JOG	9	44098
174777506	1461393900	1461399900	OVS	FUK	9	41098
174777498	1461408900	1461418800	OVS	SRD	9	32098
174777482	1461403200	1461409500	FUK	OVS	9	41098
174777480	1461402600	1461406500	JOG	OVS	9	44098
174777464	1461395400	1461399600	OVS	JOG	9	44098
174777458	1461410400	1461420300	OVS	MJT	9	44098
174777456	1461394800	1461402300	EEP	OVS	9	26098
174777448	1461384000	1461391200	OVS	EEP	9	26098
174777432	1461373500	1461381600	FQM	OVS	9	46098
174777394	1461418200	1461423600	QSM	OVS	9	15098
174777392	1461399000	1461405600	HRA	OVS	9	23098
174777388	1461408600	1461413700	OVS	QSM	9	15098
174774494	1461325620	1461339060	OVS	GKS	9	44098
174774466	1461331800	1461338280	OVS	HRA	9	85098
174774386	1461334500	1461341940	AFU	OVS	9	75098
174774376	1461335100	1461341160	FUK	OVS	9	16098
174774356	1461335400	1461339420	JOG	OVS	9	46098
174774330	1461369300	1461375600	HRA	OVS	9	42098
174774314	1461342000	1461348600	HRA	OVS	9	85098
174774298	1461342300	1461354600	GKS	OVS	9	44098
174774246	1461323160	1461329280	OVS	FUK	9	16098
174774238	1461323700	1461330960	OVS	AFU	9	75098
174774232	1461333300	1461339060	OVS	WTR	9	14098
174774230	1461363600	1461370500	OVS	AFU	9	51098
174774222	1461369000	1461375000	XIR	OVS	9	15098
174774204	1461359100	1461366000	OVS	VOR	9	44098
174774150	1461341700	1461348120	OVS	LEH	9	41098
174774144	1461349800	1461355200	XIR	OVS	9	26098
174774132	1461341100	1461346800	OVS	XIR	9	26098
174774124	1461351000	1461356760	LEH	OVS	9	41098
174774116	1461329100	1461334440	XIR	OVS	9	26098
174774076	1461355500	1461361500	OVS	XIR	9	15098
174774048	1461354300	1461359700	OVS	QSM	9	85098
174773996	1461325560	1461335280	GAZ	OVS	9	51098
174773957	1461345900	1461351720	WTR	OVS	9	14098
174773921	1461326400	1461331260	OVS	JOG	9	46098
174773919	1461369300	1461376200	VOR	OVS	9	44098
174773893	1461339600	1461345300	OVS	NZK	9	51098
174773887	1461350100	1461355800	NZK	OVS	9	51098
174773751	1461346800	1461352500	LLT	OVS	9	23098
174773739	1461337800	1461343800	OVS	LLT	9	23098
174773733	1461335400	1461344280	SRD	OVS	9	36098
174773642	1461359400	1461368400	OVS	XKA	9	16098
174773636	1461341100	1461349920	KMM	OVS	9	15098
174773596	1461333600	1461341220	VOR	OVS	9	32098
174773536	1461361800	1461369900	OVS	FQM	9	46098
174773508	1461329100	1461337860	OVS	KMM	9	15098
174773460	1461358200	1461362700	OVS	ZOV	9	14098
174773432	1461358200	1461362400	OVS	JOG	9	64098
174773428	1461324120	1461333600	OVS	SRD	9	36098
174773388	1461323880	1461333480	OVS	MJT	9	64098
174773380	1461337800	1461348060	MJT	OVS	9	64098
174773332	1461359400	1461365700	OVS	HRA	9	42098
174773328	1461330600	1461335820	QSM	OVS	9	23098
