174774150	1461341700	1461348120	OVS	LEH	9	41098
174774124	1461351000	1461356760	LEH	OVS	9	41098
174777506	1461393900	1461399900	OVS	FUK	9	41098
174777482	1461403200	1461409500	FUK	OVS	9	41098
174777574	1461413400	1461422400	OVS	KMM	9	41098
174773996	1461325560	1461335280	GAZ	OVS	9	51098
174773893	1461339600	1461345300	OVS	NZK	9	51098
174773887	1461350100	1461355800	NZK	OVS	9	51098
174774230	1461363600	1461370500	OVS	AFU	9	51098
174777664	1461373500	1461380700	AFU	OVS	9	51098
174777680	1461394500	1461406200	OVS	PTO	9	51098
174777518	1461409800	1461420600	PTO	OVS	9	51098
174773596	1461333600	1461341220	VOR	OVS	9	32098
174777926	1461385200	1461393300	OVS	WTS	9	32098
174778026	1461396600	1461404400	WTS	OVS	9	32098
174777498	1461408900	1461418800	OVS	SRD	9	32098
174777802	1461421800	1461430800	SRD	OVS	9	32098
174773332	1461359400	1461365700	OVS	HRA	9	42098
174774330	1461369300	1461375600	HRA	OVS	9	42098
174778364	1461396000	1461407100	OVS	GAZ	9	42098
174778068	1461410400	1461420600	GAZ	OVS	9	42098
174778064	1461397200	1461403800	OVS	LEH	9	82098
174778492	1461407100	1461413100	LEH	OVS	9	82098
174778550	1461418200	1461424800	OVS	HRA	9	82098
174773328	1461330600	1461335820	QSM	OVS	9	23098
174773739	1461337800	1461343800	OVS	LLT	9	23098
174773751	1461346800	1461352500	LLT	OVS	9	23098
174778566	1461388200	1461395400	OVS	HRA	9	23098
174777392	1461399000	1461405600	HRA	OVS	9	23098
174778342	1461409800	1461415800	OVS	FUK	9	23098
174778466	1461419400	1461425400	FUK	OVS	9	23098
174774232	1461333300	1461339060	OVS	WTR	9	14098
174773957	1461345900	1461351720	WTR	OVS	9	14098
174773460	1461358200	1461362700	OVS	ZOV	9	14098
174777548	1461381300	1461385200	ZOV	OVS	9	14098
174778170	1461392100	1461396600	OVS	ZOV	9	14098
174778166	1461399600	1461403500	ZOV	OVS	9	14098
174778580	1461412200	1461425100	OVS	GKS	9	14098
