41098	9	1461333600	1461426000	OVS	87
51098	9	1461325560	1461426000	GAZ	87
32098	9	1461330660	1461445800	VOR	87
42098	9	1461302220	1461424200	OVS	87
82098	9	1461326400	1461428400	OVS	87
23098	9	1461330000	1461444600	QSM	87
14098	9	1461326820	1461428700	OVS	87
44098	9	1461325620	1461423900	OVS	87
64098	9	1461323880	1461482400	OVS	87
15098	9	1461326220	1461510000	OVS	87
75098	9	1461323700	1461445800	OVS	87
85098	9	1461330720	1461441300	OVS	87
16098	9	1461323160	1461432300	OVS	87
26098	9	1461328740	1461424800	XIR	87
36098	9	1461324120	1461451200	OVS	87
46098	9	1461326400	1461444600	OVS	87
DCBPV	73H	1461326400	1461440100	GEB	158
FCBPV	73H	1461324840	1461428100	OVS	158
GCBPV	73H	1461312420	1461435300	OVS	158
CDBPV	321	1461321660	1461424500	OCF	170
DDBPV	3KR	1461298080	1461510000	OVS	296
EDBPV	3KR	1461316380	1461436200	OVS	296
KDBPV	320	1461331560	1461425700	OVS	140
BGBPV	77W	1461324240	1461460200	OVS	402
CGBPV	77W	1461330180	1461453000	OVS	402
DGBPV	77W	1461295800	1461458700	GKH	402
DIBPV	320	1461322200	1461429600	ALA	140
AJBPV	32A	1461326100	1461423600	OVS	158
YJBPV	32A	1461325740	1461437400	OVS	158
CKBPV	320	1461326160	1461434100	OVS	140
XKBPV	320	1461323400	1461426000	PTO	140
YKBPV	320	1461298320	1461437700	OVS	140
HLBPV	32A	1461323640	1461423900	OVS	158
LLBPV	32A	1461330540	1461426000	OVS	158
PLBPV	32A	1461326880	1461434400	JAH	158
RLBPV	32A	1461320760	1461429000	OVS	158
XLBPV	332	1461310620	1461435900	OVS	241
YLBPV	332	1461298260	1461453900	OVS	241
EMBPV	320	1461319860	1461430200	MAH	140
FMBPV	320	1461327060	1461429600	FXS	140
LNBPV	32A	1461325380	1461434400	LSO	158
TNBPV	32A	1461320340	1461431100	URF	158
COBPV	321	1461326700	1461432600	ECN	170
EOBPV	321	1461331320	1461479100	DEL	170
NOBPV	73H	1461324360	1461444000	BVO	158
PQBPV	320	1461331320	1461426300	OVS	140
RQBPV	321	1461318300	1461431700	VLT	170
UQBPV	320	1461322500	1461426600	ECV	140
VQBPV	320	1461324300	1461427500	OVS	140
