15098	9	1461326220	1461510000	OVS	87
64098	9	1461323880	1461482400	OVS	87
36098	9	1461324120	1461451200	OVS	87
75098	9	1461323700	1461445800	OVS	87
32098	9	1461330660	1461445800	VOR	87
46098	9	1461326400	1461444600	OVS	87
23098	9	1461330000	1461444600	QSM	87
85098	9	1461330720	1461441300	OVS	87
16098	9	1461323160	1461432300	OVS	87
14098	9	1461326820	1461428700	OVS	87
82098	9	1461326400	1461428400	OVS	87
51098	9	1461325560	1461426000	GAZ	87
41098	9	1461333600	1461426000	OVS	87
26098	9	1461328740	1461424800	XIR	87
42098	9	1461302220	1461424200	OVS	87
44098	9	1461325620	1461423900	OVS	87
